Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Status
, ,Applicant ID,Applicant's Industry,Loan Amount Requested,Loan Category,Applicant's Category,Income Document Submitted,KYC Submitted,Business Proof Submitted,Rejected
,1,SMEServ1,Services,1000000,SME,Large,Yes,Yes,Yes,Rejected
,2,SMETrad2,Trading,4500000,SME,Medium,No,No,No,Rejected
,3,SMETrad3,Trading,3100000,SME,Large,No,Yes,No,Rejected
,4,SMEServ4,Services,100000,SME,Medium,Yes,Yes,No,Rejected
,5,SMEServ5,Services,1800000,SME,Large,Yes,Yes,Yes,Rejected
,6,SMEServ6,Services,1000000,SME,Small,No,Yes,No,Rejected
,7,SMEServ7,Services,2400000,SME,Small,No,Yes,Yes,Rejected
,8,SMEServ8,Services,400000,SME,Small,Yes,No,Yes,Rejected
,9,SMEServ9,Services,4600000,SME,Large,Yes,Yes,Yes,Rejected
,10,SMEManu10,Manufacturing,3700000,SME,Medium,Yes,No,Yes,Rejected
,11,SMEManu11,Manufacturing,2100000,SME,Medium,Yes,No,Yes,Rejected
,12,SMETrad12,Trading,900000,SME,Medium,No,Yes,Yes,Rejected
,13,SMETrad13,Trading,2300000,SME,Medium,Yes,Yes,No,Rejected
,14,SMEServ14,Services,4400000,SME,Small,Yes,Yes,Yes,Rejected
,15,SMEServ15,Services,4500000,SME,Small,Yes,Yes,No,Rejected
,16,SMETrad16,Trading,1300000,SME,Small,No,Yes,Yes,Rejected
,17,SMETrad17,Trading,600000,SME,Small,No,Yes,Yes,Rejected
,18,SMEManu18,Manufacturing,5000000,SME,Medium,Yes,Yes,Yes,Rejected
,19,SMEServ19,Services,1300000,SME,Large,No,No,Yes,Rejected
,20,SMEManu20,Manufacturing,300000,SME,Medium,Yes,Yes,No,Rejected
,21,SMEManu21,Manufacturing,4800000,SME,Medium,No,Yes,No,Rejected
,22,SMEManu22,Manufacturing,400000,SME,Medium,No,Yes,Yes,Rejected
,23,SMETrad23,Trading,2700000,SME,Large,Yes,No,No,Rejected
,24,SMEServ24,Services,4900000,SME,Large,Yes,Yes,No,Rejected
,25,SMEServ25,Services,300000,SME,Large,Yes,No,Yes,Rejected
,26,SMEManu26,Manufacturing,4100000,SME,Small,No,No,Yes,Rejected
,27,SMEServ27,Services,900000,SME,Medium,Yes,Yes,Yes,Rejected
,28,SMEManu28,Manufacturing,4600000,SME,Small,Yes,Yes,No,Rejected
,29,SMEServ29,Services,1100000,SME,Small,Yes,No,Yes,Rejected
,30,SMEServ30,Services,3900000,SME,Small,No,Yes,No,Rejected
,31,SMEManu31,Manufacturing,300000,SME,Large,No,No,Yes,Rejected
,32,SMEServ32,Services,400000,SME,Large,Yes,Yes,No,Rejected
,33,SMEManu33,Manufacturing,4200000,SME,Medium,Yes,No,No,Rejected
,34,SMEServ34,Services,1300000,SME,Medium,No,Yes,Yes,Rejected
,35,SMEManu35,Manufacturing,4800000,SME,Large,No,No,No,Rejected
,36,SMEServ36,Services,3800000,SME,Small,No,No,No,Rejected
,37,SMEServ37,Services,4200000,SME,Large,Yes,Yes,Yes,Rejected
,38,SMEServ38,Services,2900000,SME,Small,No,Yes,Yes,Rejected
,39,SMEServ39,Services,2300000,SME,Small,Yes,Yes,Yes,Rejected
,40,SMEServ40,Services,300000,SME,Small,No,No,Yes,Rejected
,41,SMEServ41,Services,4700000,SME,Small,No,Yes,No,Rejected
,42,SMEManu42,Manufacturing,1100000,SME,Large,No,No,Yes,Rejected
,43,SMETrad43,Trading,1500000,SME,Small,Yes,No,No,Rejected
,44,SMETrad44,Trading,4300000,SME,Small,No,Yes,No,Rejected
,45,SMETrad45,Trading,4700000,SME,Medium,No,No,Yes,Rejected
,46,SMEServ46,Services,2000000,SME,Small,No,No,No,Rejected
,47,SMETrad47,Trading,2500000,SME,Large,Yes,No,No,Rejected
,48,SMEServ48,Services,1400000,SME,Small,No,Yes,Yes,Rejected
,49,SMEManu49,Manufacturing,2900000,SME,Small,Yes,Yes,Yes,Rejected
,50,SMEServ50,Services,5000000,SME,Medium,Yes,No,Yes,Rejected
,51,SMEManu51,Manufacturing,2100000,SME,Large,No,Yes,No,Rejected
,52,SMEServ52,Services,3400000,SME,Small,No,Yes,No,Rejected
,53,SMEManu53,Manufacturing,3700000,SME,Medium,No,No,Yes,Rejected
,54,SMEServ54,Services,2300000,SME,Medium,No,No,No,Rejected
,55,SMEManu55,Manufacturing,4200000,SME,Medium,No,Yes,No,Rejected
,56,SMETrad56,Trading,4900000,SME,Medium,Yes,Yes,Yes,Rejected
,57,SMETrad57,Trading,4600000,SME,Small,No,Yes,No,Rejected
,58,SMEManu58,Manufacturing,2400000,SME,Medium,No,Yes,Yes,Rejected
,59,SMETrad59,Trading,4800000,SME,Medium,No,Yes,Yes,Rejected
,60,SMETrad60,Trading,2900000,SME,Large,Yes,Yes,Yes,Rejected
,61,SMEServ61,Services,3800000,SME,Small,Yes,Yes,Yes,Rejected
,62,SMEServ62,Services,1300000,SME,Medium,No,Yes,Yes,Rejected
,63,SMEManu63,Manufacturing,2200000,SME,Small,Yes,Yes,No,Rejected
,64,SMEServ64,Services,4000000,SME,Small,No,No,Yes,Rejected
,65,SMEManu65,Manufacturing,3800000,SME,Medium,No,No,No,Rejected
,66,SMEServ66,Services,3600000,SME,Small,Yes,No,No,Rejected
,67,SMETrad67,Trading,3300000,SME,Medium,No,No,No,Rejected
,68,SMEServ68,Services,800000,SME,Small,No,Yes,No,Rejected
,69,SMEServ69,Services,3900000,SME,Large,No,No,No,Rejected
,70,SMETrad70,Trading,4300000,SME,Medium,No,Yes,Yes,Rejected
,71,SMETrad71,Trading,3000000,SME,Large,Yes,No,Yes,Rejected
,72,SMETrad72,Trading,3000000,SME,Large,No,No,No,Rejected
,73,SMEManu73,Manufacturing,1800000,SME,Medium,No,No,No,Rejected
,74,SMEServ74,Services,2400000,SME,Medium,No,No,Yes,Rejected
,75,SMEServ75,Services,3200000,SME,Large,Yes,Yes,No,Rejected
,76,SMETrad76,Trading,2200000,SME,Small,No,Yes,No,Rejected
,77,SMEServ77,Services,1200000,SME,Small,Yes,Yes,No,Rejected
,78,SMEServ78,Services,3400000,SME,Large,Yes,No,No,Rejected
,79,SMEManu79,Manufacturing,1300000,SME,Large,No,Yes,No,Rejected
,80,SMEServ80,Services,4400000,SME,Large,No,No,Yes,Rejected
,81,SMEManu81,Manufacturing,4500000,SME,Medium,Yes,No,Yes,Rejected
