Applicant ID,Applicant's Industry,Loan Amount Requested,Loan Category,Applicant's Category,Income Document Submitted,KYC Submitted,Business Proof Submitted,Status
SMEServ1,Services,1000000,SME,Large,Yes,Yes,Yes,Approved
SMETrad2,Trading,4500000,SME,Medium,No,No,No,Rejected
SMETrad3,Trading,3100000,SME,Large,No,Yes,No,Rejected
SMEServ4,Services,100000,SME,Medium,Yes,Yes,No,Rejected
SMEServ5,Services,1800000,SME,Large,Yes,Yes,Yes,Approved
SMEServ6,Services,1000000,SME,Small,No,Yes,No,Rejected
SMEServ7,Services,2400000,SME,Small,No,Yes,Yes,Rejected
SMEServ8,Services,400000,SME,Small,Yes,No,Yes,Rejected
SMEServ9,Services,4600000,SME,Large,Yes,Yes,Yes,Approved
SMEManu10,Manufacturing,3700000,SME,Medium,Yes,No,Yes,Rejected
SMEManu11,Manufacturing,2100000,SME,Medium,Yes,No,Yes,Rejected
SMETrad12,Trading,900000,SME,Medium,No,Yes,Yes,Rejected
SMETrad13,Trading,2300000,SME,Medium,Yes,Yes,No,Rejected
SMEServ14,Services,4400000,SME,Small,Yes,Yes,Yes,Approved
SMEServ15,Services,4500000,SME,Small,Yes,Yes,No,Rejected
SMETrad16,Trading,1300000,SME,Small,No,Yes,Yes,Rejected
SMETrad17,Trading,600000,SME,Small,No,Yes,Yes,Rejected
SMEManu18,Manufacturing,5000000,SME,Medium,Yes,Yes,Yes,Approved
SMEServ19,Services,1300000,SME,Large,No,No,Yes,Rejected
SMEManu20,Manufacturing,300000,SME,Medium,Yes,Yes,No,Rejected
SMEManu21,Manufacturing,4800000,SME,Medium,No,Yes,No,Rejected
SMEManu22,Manufacturing,400000,SME,Medium,No,Yes,Yes,Rejected
SMETrad23,Trading,2700000,SME,Large,Yes,No,No,Rejected
SMEServ24,Services,4900000,SME,Large,Yes,Yes,No,Rejected
SMEServ25,Services,300000,SME,Large,Yes,No,Yes,Rejected
SMEManu26,Manufacturing,4100000,SME,Small,No,No,Yes,Rejected
SMEServ27,Services,900000,SME,Medium,Yes,Yes,Yes,Approved
SMEManu28,Manufacturing,4600000,SME,Small,Yes,Yes,No,Rejected
SMEServ29,Services,1100000,SME,Small,Yes,No,Yes,Rejected
SMEServ30,Services,3900000,SME,Small,No,Yes,No,Rejected
SMEManu31,Manufacturing,300000,SME,Large,No,No,Yes,Rejected
SMEServ32,Services,400000,SME,Large,Yes,Yes,No,Rejected
SMEManu33,Manufacturing,4200000,SME,Medium,Yes,No,No,Rejected
